,Info,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Blue,Red,Red,Red,Red,Red,Red,Red,Red,Red,Red
,MatchID,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle,Middle,Middle,Top,Top,ADC,ADC,Support,Support,Jungle,Jungle
,Address,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist,Kills,Assist
79,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080103?gameHash=b2ef740c15462370,2,4,1,4,2,2,0,5,2,4,5,8,4,12,9,7,1,16,2,13
80,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090098?gameHash=7f32b00eeb67d88a,6,5,4,3,1,5,0,7,1,7,6,0,2,6,7,4,2,10,0,14
81,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090100?gameHash=2b3115d7084d0981,2,3,0,5,2,3,1,8,5,1,7,7,5,11,4,11,2,13,1,11
82,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090105?gameHash=bfad7537e1591dbb,6,12,2,10,4,17,1,20,9,7,1,4,1,3,2,5,0,4,4,0
83,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090113?gameHash=fe8ab7b253d94b5b,2,1,0,2,2,0,1,2,0,3,4,6,0,10,5,7,0,9,5,7
84,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001090119?gameHash=d9a1285e2cf77999,0,0,2,2,2,0,0,3,1,2,4,7,5,6,5,6,1,7,1,8
85,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080179?gameHash=31030c79dfcbecd4,6,8,4,11,7,11,0,13,3,8,1,1,0,3,2,3,0,5,2,2
86,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080182?gameHash=33c18a702d5155ad,2,8,5,8,4,7,1,10,2,9,1,4,1,1,4,2,0,5,0,4
87,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080201?gameHash=1ffd232009cc61a5,2,2,3,0,0,5,0,4,1,3,5,11,5,9,3,9,4,13,4,15
88,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080211?gameHash=0abe526de3932809,3,5,4,11,12,4,0,13,2,15,0,2,0,2,2,1,2,1,0,3
89,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080217?gameHash=e16620c2576464f0,1,5,3,3,3,6,1,8,2,5,3,5,5,7,7,5,0,13,5,6
90,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080228?gameHash=390ff59be55613a0,6,6,5,6,2,8,0,8,3,11,11,6,5,16,7,11,0,19,0,18
91,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001080232?gameHash=bbe4d9381900b70f,1,10,0,9,6,3,1,9,4,7,0,4,3,1,1,3,1,3,1,3
92,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190006?gameHash=2c537f1764b4fe87,5,9,2,11,5,9,0,12,3,11,4,3,2,5,3,3,1,5,0,7
93,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190028?gameHash=c85c4893ae61c2d9,1,7,4,4,3,4,0,4,2,6,4,9,6,13,9,4,1,11,3,14
94,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190040?gameHash=910d1678643730c4,4,10,3,10,5,9,1,8,3,8,1,2,0,2,0,1,0,2,2,1
95,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190046?gameHash=a5ac7b41ef215beb,4,2,1,4,2,3,0,4,1,5,4,9,8,10,5,14,3,18,2,18
96,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001190059?gameHash=1ae15002686d7962,6,8,4,9,9,9,1,18,1,16,8,11,2,14,10,6,0,15,2,14
97,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180082?gameHash=3467cc1b2599a75d,8,10,9,8,4,12,0,17,1,16,3,3,8,4,2,9,0,10,2,11
98,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180093?gameHash=31b2113c09acb5a7,1,7,2,4,4,8,4,7,5,7,1,2,0,2,1,3,0,2,2,1
99,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180104?gameHash=a48365f487fb1750,5,2,3,4,4,8,1,8,1,4,9,10,3,16,12,11,2,23,3,18
100,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180113?gameHash=74539c15384418b4,6,6,4,5,4,6,3,12,1,10,0,2,8,0,2,0,0,3,0,3
101,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001180122?gameHash=55acf0acb737ca95,3,4,3,4,3,5,2,4,0,6,1,8,6,7,3,7,1,10,5,8
102,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200019?gameHash=de9772358b74ebeb,1,0,2,1,1,2,0,2,1,3,2,5,5,10,11,3,1,14,3,12
103,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200024?gameHash=525b0cebe7826c61,2,2,3,1,1,4,0,3,0,4,2,10,5,5,8,7,0,13,1,12
104,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200033?gameHash=037bf9c7473334ac,12,3,1,8,3,5,0,9,1,12,0,5,3,4,4,3,0,6,1,5
105,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200041?gameHash=fd70f3c7f0ef609b,1,4,1,3,2,1,0,4,1,3,7,8,10,9,3,10,1,15,1,9
106,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200052?gameHash=777e678b521201b8,3,10,5,9,7,5,1,12,2,10,1,3,1,4,1,3,0,1,2,3
107,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200067?gameHash=b9e59980115f03d2,2,3,1,4,4,4,0,7,1,6,8,5,1,8,4,8,1,10,1,11
108,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200073?gameHash=b06276841c624ef9,0,2,0,3,2,0,0,3,1,2,7,3,4,6,2,2,0,8,1,11
109,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200078?gameHash=f29e4aebf583c0ae,4,2,2,3,1,5,0,6,0,6,8,6,2,8,4,11,1,13,2,13
110,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200083?gameHash=095f04e06c7fe592,3,8,3,5,1,11,1,12,7,7,5,5,5,3,4,6,1,10,1,12
111,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001200090?gameHash=df0fb2ba5ee9d4c6,4,0,3,4,2,7,2,6,0,10,8,8,2,10,9,9,1,21,4,11
112,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210086?gameHash=80e7bfda914fd0c9,5,6,1,2,4,6,0,10,1,9,4,7,3,10,4,8,3,7,0,12
113,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210093?gameHash=3420cf4d13a780eb,7,6,4,6,3,7,0,8,2,6,4,6,4,4,4,6,1,8,1,8
114,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210098?gameHash=06368b209802df9f,9,7,7,9,4,12,1,18,2,17,2,2,3,2,3,2,0,6,0,4
115,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210107?gameHash=0a832eea1bca60d1,8,5,3,6,2,9,0,11,5,8,0,0,0,0,0,0,0,0,0,0
116,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210113?gameHash=7a5200c24e86c2f0,1,7,3,3,2,6,0,4,3,5,4,14,4,9,7,13,5,16,3,14
117,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210125?gameHash=abdb717d8fc0a2fa,7,5,3,14,10,7,0,17,1,13,1,6,2,3,2,6,4,5,0,6
118,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210129?gameHash=58b826f6b546ad66,12,7,7,16,5,13,0,20,2,20,1,9,5,4,3,7,2,5,3,7
119,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210134?gameHash=6a76db40b8416e0b,1,4,1,4,3,5,1,8,4,4,3,3,6,1,1,6,2,9,0,10
120,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001210139?gameHash=778895bd05d45d7b,1,0,0,3,1,1,1,1,1,0,3,9,7,3,6,7,0,14,1,9
